species,label,source,grid_latitude,grid_longitude,depth_m,temperature_c,salinity_psu,chlorophyll_mg_m3,light_attenuation_kdpar,slope_degree,terrain_ruggedness_index,distance_to_coast_km
Parablennius rouxi,1,gbif_presence,43.175,5.375,49.91666793823242,16.970605996585395,37.88441189470214,0.45622070036268003,0.08563705247892757,1.4066912573842227,98.67795085906319,0.0
Parablennius rouxi,1,gbif_presence,43.275,5.325,21.38888931274414,16.783759635721,37.772827791244644,0.5810970028598355,0.10655767491372396,0.27259813207265,23.247519493103308,0.0
Parablennius rouxi,1,gbif_presence,42.525,3.125,13.277777671813965,17.226631283762806,37.65479127346195,0.29639039936524114,0.06891950079395472,0.26391093402035215,15.698785305023302,0.0
Parablennius rouxi,1,gbif_presence,42.075,3.225,38.52777862548828,17.537397552541997,37.84769262164209,0.2695569770296433,0.0961944631787471,0.5083602981704423,28.870658874511694,0.0
Parablennius rouxi,1,gbif_presence,41.825,3.125,40.94444274902344,17.838398674126292,37.926066782119065,0.3421605610868683,0.08213371280764797,0.25037904277694095,15.316337811319249,0.0
Parablennius rouxi,1,gbif_presence,43.225,5.325,34.55555725097656,16.824277402273793,37.76573101954375,0.5708673081893385,0.10019074338829186,0.32165866413302974,24.32031178474502,0.0
Parablennius rouxi,1,gbif_presence,43.425,3.825,15.472222328186035,16.56025889976063,37.287447081578094,0.6319854410273122,0.14422519315250745,0.24263620642995315,17.048114878790834,0.0
Parablennius rouxi,1,gbif_presence,43.525,3.975,9.166666984558105,16.48007726470307,37.13384276592497,0.7859171744329632,0.16906257843779435,0.1433068801051026,10.816886036019362,0.0
Parablennius rouxi,1,gbif_presence,41.525,2.525,24.72222137451172,18.341073230093944,37.93786771899452,0.36169502504147033,0.11168542029149957,0.46106787970706936,32.113095147269085,0.0
Parablennius rouxi,1,gbif_presence,42.225,3.275,62.22222137451172,17.446556854704216,37.822850242263044,0.2565079609759764,0.09966070533868976,0.3591675766975495,22.801214635373146,0.0
Parablennius rouxi,1,gbif_presence,43.275,5.275,53.55555725097656,16.75516376565752,37.58649608721326,0.6072836978098316,0.09767593307043312,0.25433771656416565,23.940972328186035,4.047900790357423
Parablennius rouxi,1,gbif_presence,43.525,4.025,13.972222328186035,16.47452551005868,37.12861403937394,0.7911532429056668,0.16758671863997693,0.13013379188312665,9.948908584458513,0.0
Parablennius rouxi,1,gbif_presence,43.075,5.775,35.5,17.151475867570774,38.15488180164579,0.24807558955654907,0.0841246522694862,4.060943521507744,307.1571234464501,0.0
Parablennius rouxi,1,gbif_presence,41.525,2.475,10.25,18.348173205031802,37.93694032617545,0.3427328885801844,0.11765063419941854,0.4828686125384321,32.489583693052694,0.0
Parablennius rouxi,1,gbif_presence,38.525,-0.125,7.861111164093018,19.554597014653915,37.08960664847399,0.22008263567402794,0.07527183734242796,0.225212844929976,14.741958411115538,0.0
Parablennius rouxi,1,gbif_presence,38.625,0.075,35.80555725097656,19.579058291520656,37.11662664746278,0.21679946689145402,0.05923628218141632,0.25674588323885883,44.698414530071865,0.0
Parablennius rouxi,1,gbif_presence,43.175,5.225,76.88888549804688,16.94811774376645,37.54976184701733,0.6213430710155313,0.09167448222080529,0.4767397616571581,35.47916793823242,11.119508023353449
Parablennius rouxi,1,gbif_presence,43.525,7.075,102.44444274902344,17.98101876958322,38.20209743708884,0.1880859004154636,0.08575255615951637,5.988394697198976,442.1493074894009,0.0
Parablennius rouxi,1,gbif_presence,43.525,7.125,359.22222900390625,18.00816317256564,38.19956108085184,0.20083589203419192,0.08931331330666294,5.952060674579598,445.4298677444502,0.0
Parablennius rouxi,1,gbif_presence,43.175,5.525,62.25,16.963879573300023,38.05860044670609,0.3182636478958913,0.07818376534201267,2.7001278724279656,262.2075939680405,0.0
Parablennius rouxi,1,gbif_presence,43.425,3.775,8.166666984558105,16.51850018282717,37.28429698359473,0.5816347690300645,0.14035249721229964,0.24857254484858923,17.235928309591237,0.0
